"Nome do módulo","Nome de exibição","Tipo de driver","Data do link"
"pvscsi","pvscsi Storage Controller Driver","Kernel ","20/05/2021 00:55:26"
"QWAVEdrv","QWAVE driver","Kernel ",""
"Ramdisk","Driver de disco RAM do Windows","Kernel ",""
"ramparser","ramparser","Kernel ",""
"RasAcd","Remote Access Auto Connection Driver","Kernel ",""
"RasAgileVpn","Miniporta WAN (IKEv2)","Kernel ",""
"Rasl2tp","Miniporta de rede remota (L2TP)","Kernel ",""
"RasPppoe","Driver PPPOE de acesso remoto","Kernel ",""
"RasSstp","Miniporta WAN (SSTP)","Kernel ",""
"rdbss","Subsistema de Buffer Redirecionado","File System ",""
"rdpbus","Driver do Barramento do Redirecionador de Dispositivos de Área de Trabalho Remota","Kernel ",""
"RDPDR","Driver de Redirecionador de Dispositivos de Área de Trabalho Remota","Kernel ",""
"rdyboost","ReadyBoost","Kernel ",""
"ReFS","ReFS","File System ",""
"ReFSv1","ReFSv1","File System ",""
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ",""
"rhproxy","Driver do proxy do Hub de Recursos","Kernel ",""
"RsFx0800","RsFx0800 Driver","File System ","07/08/2024 13:41:02"
"rspndr","Respondente de Descoberta de Topologia de Camada de Link","Kernel ",""
"rt640x64","Realtek RT640 NT Driver","Kernel ","01/07/2019 04:38:21"
"s3cap","s3cap","Kernel ",""
"sbp2port","SBP-2 Transport/Protocol Bus Driver","Kernel ",""
"scfilter","Driver de Filtro de Classe PnP de Cartão inteligente","Kernel ",""
"scmbus","Driver de Barramento de Memória de Classe de Armazenamento da Microsoft","Kernel ",""
"sdbus","sdbus","Kernel ",""
"SdcaHidInbox","Driver HID SoundWire","Kernel ",""
"SdcaMfdInbox","Driver Multifunção de Áudio SoundWire","Kernel ",""
"sdstor","Driver de Porta de Armazenamento SD","Kernel ",""
"SerCx","Serial UART Support Library","Kernel ",""
"SerCx2","Serial UART Support Library","Kernel ",""
"Serenum","Serenum Filter Driver","Kernel ",""
"Serial","Serial port driver","Kernel ",""
"sermouse","Serial Mouse Driver","Kernel ",""
"sfloppy","Unidade de disquete de alta capacidade","Kernel ",""
"SiSRaid2","SiSRaid2","Kernel ","24/09/2008 15:28:20"
"SiSRaid4","SiSRaid4","Kernel ","01/10/2008 18:56:04"
"SmartSAMD","SmartSAMD","Kernel ","21/02/2019 14:54:44"
"smbdirect","smbdirect","File System ",""
"spaceparser","spaceparser","Kernel ",""
"spaceport","Driver de Espaços de Armazenamento","Kernel ",""
"SpbCx","Simple Peripheral Bus Support Library","Kernel ",""
"srv2","Driver SMB 2.xxx do Servidor","File System ",""
"srvnet","srvnet","File System ",""
"stexstor","stexstor","Kernel ","26/11/2012 21:02:51"
"storahci","Driver AHCI SATA Padrão da Microsoft","Kernel ",""
"storflt","Acelerador de Armazenamento Microsoft Hyper-V","Kernel ",""
"stornvme","Driver Microsoft Padrão NVM Express","Kernel ",""
"storqosflt","Driver do Filtro QoS de Armazenamento","File System ",""
"storufs","Driver UFS (Universal Flash Storage) Microsoft","Kernel ",""
"storvsc","storvsc","Kernel ",""
"storvsp","storvsp","Kernel ",""
"swenum","Software Bus Driver","Kernel ",""
"Tcpip","Driver de Protocolo TCP/IP","Kernel ",""
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Kernel ",""
"tcpipreg","@%SystemRoot%\System32\drivers\tcpipreg.sys,-10110,","Kernel ",""
"tdx","Driver de Suporte a TDI Herdado de NetIO","Kernel ",""
"terminpt","Driver de Entrada de Área de Trabalho Remota da Microsoft","Kernel ",""
"ThermalFilter","Microsoft Thermal Filter Driver","Kernel ",""
"TPM","TPM","Kernel ",""
"TsUsbFlt","Driver de Filtro da Classe Hub USB de Área de Trabalho Remota","Kernel ",""
"TsUsbGD","Dispositivo USB Genérico de Área de Trabalho Remota","Kernel ",""
"tsusbhub","Remote Desktop USB Hub","Kernel ",""
"tunnel","Driver do Adaptador de Miniporta de Túnel da Microsoft","Kernel ",""
"UASPStor","Driver UAS (USB Attached SCSI)","Kernel ",""
"UcmCx0101","USB Connector Manager KMDF Class Extension","Kernel ",""
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","Kernel ",""
"UcmUcsiAcpiClient","Cliente UCM-UCSI ACPI","Kernel ",""
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","Kernel ",""
"UCPD","UCPD","File System ",""
"Ucx01000","USB Host Support Library","Kernel ",""
"UdeCx","USB Device Emulation Support Library","Kernel ",""
"udfs","udfs","File System ",""
"UEFI","Driver UEFI da Microsoft","Kernel ",""
"UevAgentDriver","UevAgentDriver","File System ",""
"Ufx01000","USB Function Class Extension","Kernel ",""
"UfxChipidea","Controlador USB Chipidea","Kernel ",""
"ufxsynopsys","Controlador USB Synopsys","Kernel ",""
"uiomap","Serviço de Driver do Mapeador UIO da Microsoft","Kernel ",""
"umbus","Driver de Enumerador UMBus","Kernel ",""
"UmPass","Driver UMPass da Microsoft","Kernel ",""
"UnionFS","UnionFS","File System ",""
"UrsChipidea","Driver Chipidea USB Role-Switch","Kernel ",""
"UrsCx01000","USB Role-Switch Support Library","Kernel ",""
"UrsSynopsys","Driver Synopsys USB Role-Switch","Kernel ",""
"usb-platformdetection","Driver de detecção de plataforma USB","Kernel ",""
"Usb4DeviceRouter","Serviço de Roteador de Dispositivo USB4","Kernel ",""
"Usb4HostRouter","Serviço do roteador organizador USB4","Kernel ",""
"usbaudio","Driver de áudio USB (WDM)","Kernel ",""
"usbaudio2","Serviço USB Audio 2.0","Kernel ",""
"usbccgp","Microsoft USB Generic Parent Driver","Kernel ",""
"usbcir","eHome Infrared Receiver (USBCIR)","Kernel ",""
"usbehci","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver","Kernel ",""
"usbhub","Microsoft USB Standard Hub Driver","Kernel ",""
"USBHUB3","SuperSpeed Hub","Kernel ",""
"usbohci","Microsoft USB Open Host Controller Miniport Driver","Kernel ",""
"usbprint","Microsoft USB PRINTER Class","Kernel ",""
"usbser","Driver Serial USB Microsoft","Kernel ",""
"USBSTOR","USB Mass Storage Driver","Kernel ",""
"usbuhci","Microsoft USB Universal Host Controller Miniport Driver","Kernel ",""
"USBXHCI","Controlador Host Compatível com USB xHCI","Kernel ",""
"vdrvroot","Enumerador de Unidade Virtual Microsoft","Kernel ",""
"VerifierExt","Extensão do Verificador de Driver","Kernel ",""
"VfpExt","Microsoft Azure VFP Switch Filter Extension","Kernel ",""
"vhdmp","vhdmp","Kernel ",""
"vhdparser","vhdparser","Kernel ",""
"vhf","Driver de VHF (Estrutura HID Virtual)","Kernel ",""
"Vid","Vid","Kernel ",""
"VirtualRender","VirtualRender","Kernel ",""
"vmbus","Barramento VMBus","Kernel ",""
"VMBusHID","VMBusHID","Kernel ",""
"vmbusproxy","vmbusproxy","Kernel ",""
"vmbusr","Provedor de Barramento da Máquina Virtual","Kernel ",""
"vmgid","Driver de Infraestrutura de Convidado do Microsoft Hyper-V","Kernel ",""
"vmsmp","vmsmp","Kernel ",""
"VMSNPXY","VmSwitch NIC Proxy Driver","Kernel ",""
"VMSP","VmSwitch Protocol Driver","Kernel ",""
"VmsProxy","VmSwitch Proxy Driver","Kernel ",""
"VMSVSF","VmSwitch Extensibility Filter","Kernel ",""
"VMSVSP","VmSwitch Extensibility Protocol","Kernel ",""
"volmgr","Driver de Gerenciador de Volumes","Kernel ",""
"volmgrx","Gerenciador de Volume Dinâmico","Kernel ",""
"volsnap","Driver de Cópia de Sombra de Volume","Kernel ",""
"volume","Driver do volume","Kernel ",""
"vpci","Barramento PCI Virtual do Microsoft Hyper-V","Kernel ",""
"vpcivsp","Servidor PCI do Microsoft Hyper-V","Kernel ",""
"vsmraid","vsmraid","Kernel ","22/04/2014 16:21:41"
"VSTXRAID","VIA StorX Storage Controller Windows Driver","Kernel ","21/01/2013 16:00:28"
"vwifibus","Driver de barramento do Sem fio Virtual","Kernel ",""
"vwififlt","Virtual WiFi Filter Driver","Kernel ",""
"WacomPen","Driver HID da Caneta Serial Wacom","Kernel ",""
"wanarp","Driver ARP IP de acesso remoto","Kernel ",""
"wanarpv6","Driver ARP IPv6 de Acesso Remoto","Kernel ",""
"wcifs","Windows Container Isolation","File System ",""
"WdBoot","Driver de Inicialização do Microsoft Defender Antivírus","Kernel ",""
"Wdf01000","Serviço de Estruturas de Driver em Modo Kernel","Kernel ",""
"WdFilter","Driver de Minifiltro do Microsoft Defender Antivírus","File System ",""
"wdiwifi","WDI Driver Framework","Kernel ",""
"WdmCompanionFilter","WdmCompanionFilter","Kernel ",""
"WdNisDrv","Driver do Sistema de Inspeção de Rede do Microsoft Defender Antivírus","Kernel ",""
"WFPLWFS","Plataforma para Filtros do Microsoft Windows","Kernel ",""
"Wificx","Wifi Network Adapter Class Extension","Kernel ",""
"WIMMount","WIMMount","File System ",""
"WinAccelCx0101","Microsoft Accelerator Class Extension Driver","Kernel ",""
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Kernel ",""
"WindowsTrustedRTProxy","Serviço de Proteção de Tempo de Execução Confiável do Microsoft Windows","Kernel ",""
"wini3ctarget","Driver genérico para dispositivos de destino I3C","Kernel ",""
"WinMad","Serviço WinMad","Kernel ","19/06/2019 10:18:11"
"WinNat","Driver NAT do Windows","Kernel ",""
"WINUSB","Driver WinUsb","Kernel ",""
"WinVerbs","Serviço WinVerbs","Kernel ","19/06/2019 10:18:12"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Kernel ",""
"Wof","Windows Overlay File System Filter Driver","File System ",""
"WpdUpFltr","WPD Upper Class Filter Driver","Kernel ",""
"ws2ifsl","Winsock IFS Driver","Kernel ",""
"wtd","wtd","Kernel ",""
"WudfPf","User Mode Driver Frameworks Platform Driver","Kernel ",""
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Kernel ",""
"WUDFWpdFs","Driver do Sistema de Arquivos WPD","Kernel ",""
"WUDFWpdMtp","WUDFWpdMtp","Kernel ",""
"xboxgip","Driver de Protocolo de Entrada de Jogo do Xbox","Kernel ",""
"xinputhid","Driver de Filtro XINPUT HID","Kernel ",""
