
Nome da imagem            Identifi Nome da sessão       Sessão# Uso de memór Status          Nome de usuário                                    Tempo de CPU Título da janela                                                        
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         AUTORIDADE NT\SISTEMA                                   0:42:16 N/A                                                                     
svchost.exe                   8236 Console                    1     53.444 K Running         <USER>                                      0:00:00 OleMainThreadWndName                                                    
WidgetService.exe             8688 Console                    1     25.208 K Running         <USER>                                      0:00:00 N/A                                                                     
msedgewebview2.exe            8748 Console                    1    129.460 K Running         <USER>                                      0:00:02 N/A                                                                     
msedgewebview2.exe            8996 Console                    1      9.252 K Running         <USER>                                      0:00:00 N/A                                                                     
audiodg.exe                   9540 Services                   0     17.064 K Unknown         N/A                                                     0:00:10 N/A                                                                     
msedgewebview2.exe            9652 Console                    1    104.328 K Running         <USER>                                      0:00:02 N/A                                                                     
msedgewebview2.exe            9660 Console                    1     40.124 K Running         <USER>                                      0:00:00 OLEChannelWnd                                                           
NisSrv.exe                   10088 Services                   0     15.668 K Unknown         N/A                                                     0:00:00 N/A                                                                     
msedgewebview2.exe            4088 Console                    1     20.296 K Unknown         <USER>                                      0:00:00 N/A                                                                     
msedgewebview2.exe            4620 Console                    1    133.536 K Unknown         <USER>                                      0:00:05 N/A                                                                     
svchost.exe                  10516 Services                   0     16.388 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ctfmon.exe                   10556 Console                    1     33.264 K Running         <USER>                                      0:00:02 N/A                                                                     
Arc.exe                      11040 Console                    1    408.288 K Running         <USER>                                      0:00:57 Arc                                                                     
crashpad_handler.exe         11148 Console                    1      8.196 K Running         <USER>                                      0:00:00 N/A                                                                     
TextInputHost.exe            11196 Console                    1     83.760 K Running         <USER>                                      0:00:01 Experiência de Entrada do Windows                                       
Arc.exe                       6096 Console                    1     58.460 K Running         <USER>                                      0:00:10 OleMainThreadWndName                                                    
Arc.exe                       9848 Console                    1    188.620 K Running         <USER>                                      0:01:05 N/A                                                                     
Arc.exe                      10824 Console                    1     23.560 K Unknown         <USER>                                      0:00:00 N/A                                                                     
Codex.exe                    10116 Console                    1    196.916 K Running         <USER>                                      0:00:19 Codex                                                                   
Codex.exe                    11304 Console                    1     33.908 K Running         <USER>                                      0:00:00 N/A                                                                     
Codex.exe                    11440 Console                    1    116.680 K Running         <USER>                                      0:00:27 N/A                                                                     
Codex.exe                    11484 Console                    1     61.508 K Running         <USER>                                      0:00:02 OleMainThreadWndName                                                    
codex.exe                    11892 Console                    1     83.136 K Unknown         <USER>                                      0:00:22 N/A                                                                     
conhost.exe                  11900 Console                    1      7.052 K Unknown         <USER>                                      0:00:00 N/A                                                                     
Codex.exe                    12188 Console                    1    295.692 K Unknown         <USER>                                      0:01:58 N/A                                                                     
RadeonSoftware.exe           12004 Console                    1     84.600 K Running         <USER>                                      0:00:04 Radeonsoftware                                                          
Arc.exe                      12576 Console                    1    654.612 K Unknown         <USER>                                      0:04:25 N/A                                                                     
Arc.exe                      13160 Console                    1     24.060 K Unknown         <USER>                                      0:00:02 N/A                                                                     
Arc.exe                      13292 Console                    1     36.956 K Unknown         <USER>                                      0:00:00 N/A                                                                     
Arc.exe                      10172 Console                    1    241.816 K Unknown         <USER>                                      0:00:09 N/A                                                                     
cncmd.exe                     6572 Console                    1      1.624 K Unknown         <USER>                                      0:00:00 N/A                                                                     
cmd.exe                       5068 Console                    1      3.284 K Unknown         <USER>                                      0:00:00 N/A                                                                     
conhost.exe                  12396 Console                    1      1.136 K Unknown         <USER>                                      0:00:00 N/A                                                                     
AMDRSServ.exe                13032 Console                    1     85.392 K Running         <USER>                                      0:00:00 GDI+ Window (AMDRSServ.exe)                                             
SearchIndexer.exe            12892 Services                   0     30.644 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                  13136 Services                   0     27.108 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MonitorianPlus.exe            8376 Console                    1     61.680 K Running         <USER>                                      0:00:01 .NET-BroadcastEventWindow.4.0.0.0.14a68c4.0                             
RuntimeBroker.exe            12368 Console                    1     14.316 K Unknown         <USER>                                      0:00:00 N/A                                                                     
node_repl.exe                 1532 Console                    1     13.212 K Unknown         <USER>                                      0:00:00 N/A                                                                     
iCloudHome.exe                2792 Console                    1    125.080 K Running         <USER>                                      0:00:13 iCloud                                                                  
iCloudCKKS.exe                5696 Console                    1     41.956 K Running         <USER>                                      0:00:01 iCloudCKKS                                                              
secd.exe                     12444 Console                    1     20.676 K Running         <USER>                                      0:00:00 SECD                                                                    
APSDaemon.exe                 4212 Console                    1     24.692 K Running         <USER>                                      0:00:00 APSDaemonShutdownMonitorWnd                                             
ApplePhotoStreams.exe         4108 Console                    1     42.616 K Running         <USER>                                      0:00:00 PhotoStreamMessageWindow                                                
RuntimeBroker.exe             8368 Console                    1     14.312 K Unknown         <USER>                                      0:00:00 N/A                                                                     
ShellExperienceHost.exe      13092 Console                    1     78.532 K Running         <USER>                                      0:00:00 Nova notificação                                                        
iCloudDrive.exe               5192 Console                    1     62.484 K Running         <USER>                                      0:00:02 iCloudDrive                                                             
iCloudPhotos.exe             12804 Console                    1     81.564 K Running         <USER>                                      0:00:02 iCloudPhotos                                                            
powershell.exe                1540 Console                    1     86.388 K Not Responding  <USER>                                      0:00:01 OleMainThreadWndName                                                    
svchost.exe                   8656 Services                   0     10.680 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  13496 Services                   0     27.256 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  14880 Services                   0     16.764 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MsDtsSrvr.exe                14200 Services                   0     25.304 K Unknown         N/A                                                     0:00:00 N/A                                                                     
